
411324	411300	3	district	镇平县	410000,411300,411324	河南省,南阳市,镇平县	河南省	南阳市	镇平县	112.232722	33.036651
411326	411300	3	district	淅川县	410000,411300,411326	河南省,南阳市,淅川县	河南省	南阳市	淅川县	111.489026	33.136106
411325	411300	3	district	内乡县	410000,411300,411325	河南省,南阳市,内乡县	河南省	南阳市	内乡县	111.843801	33.046358
411381	411300	3	district	邓州市	410000,411300,411381	河南省,南阳市,邓州市	河南省	南阳市	邓州市	112.092716	32.681642
411329	411300	3	district	新野县	410000,411300,411329	河南省,南阳市,新野县	河南省	南阳市	新野县	112.365624	32.524006
411302	411300	3	district	宛城区	410000,411300,411302	河南省,南阳市,宛城区	河南省	南阳市	宛城区	112.544591	32.994857
411500	410000	2	city	信阳市	410000,411500	河南省,信阳市	河南省	信阳市		114.075031	32.123274
411521	411500	3	district	罗山县	410000,411500,411521	河南省,信阳市,罗山县	河南省	信阳市	罗山县	114.533414	32.203206
411523	411500	3	district	新县	410000,411500,411523	河南省,信阳市,新县	河南省	信阳市	新县	114.87705	31.63515
411527	411500	3	district	淮滨县	410000,411500,411527	河南省,信阳市,淮滨县	河南省	信阳市	淮滨县	115.415451	32.452639
411502	411500	3	district	浉河区	410000,411500,411502	河南省,信阳市,浉河区	河南省	信阳市	浉河区	114.075031	32.123274
411525	411500	3	district	固始县	410000,411500,411525	河南省,信阳市,固始县	河南省	信阳市	固始县	115.667328	32.183074
411524	411500	3	district	商城县	410000,411500,411524	河南省,信阳市,商城县	河南省	信阳市	商城县	115.406297	31.799982
411503	411500	3	district	平桥区	410000,411500,411503	河南省,信阳市,平桥区	河南省	信阳市	平桥区	114.126027	32.098395
411528	411500	3	district	息县	410000,411500,411528	河南省,信阳市,息县	河南省	信阳市	息县	114.740713	32.344744
411526	411500	3	district	潢川县	410000,411500,411526	河南省,信阳市,潢川县	河南省	信阳市	潢川县	115.050123	32.134024
411522	411500	3	district	光山县	410000,411500,411522	河南省,信阳市,光山县	河南省	信阳市	光山县	114.903577	32.010398
419001	410000	2	city	济源市	410000,419001	河南省,济源市	河南省	济源市		112.590047	35.090378
410900	410000	2	city	濮阳市	410000,410900	河南省,濮阳市	河南省	濮阳市		115.041299	35.768234
410923	410900	3	district	南乐县	410000,410900,410923	河南省,濮阳市,南乐县	河南省	濮阳市	南乐县	115.204336	36.075204
410927	410900	3	district	台前县	410000,410900,410927	河南省,濮阳市,台前县	河南省	濮阳市	台前县	115.855681	35.996474
410926	410900	3	district	范县	410000,410900,410926	河南省,濮阳市,范县	河南省	濮阳市	范县	115.504212	35.851977
410902	410900	3	district	华龙区	410000,410900,410902	河南省,濮阳市,华龙区	河南省	濮阳市	华龙区	115.03184	35.760473
410922	410900	3	district	清丰县	410000,410900,410922	河南省,濮阳市,清丰县	河南省	濮阳市	清丰县	115.107287	35.902413
410928	410900	3	district	濮阳县	410000,410900,410928	河南省,濮阳市,濮阳县	河南省	濮阳市	濮阳县	115.023844	35.710349
410800	410000	2	city	焦作市	410000,410800	河南省,焦作市	河南省	焦作市		113.238266	35.23904
410804	410800	3	district	马村区	410000,410800,410804	河南省,焦作市,马村区	河南省	焦作市	马村区	113.321703	35.265453
410882	410800	3	district	沁阳市	410000,410800,410882	河南省,焦作市,沁阳市	河南省	焦作市	沁阳市	112.934538	35.08901
410825	410800	3	district	温县	410000,410800,410825	河南省,焦作市,温县	河南省	焦作市	温县	113.079118	34.941233
410883	410800	3	district	孟州市	410000,410800,410883	河南省,焦作市,孟州市	河南省	焦作市	孟州市	112.78708	34.90963
410821	410800	3	district	修武县	410000,410800,410821	河南省,焦作市,修武县	河南省	焦作市	修武县	113.447465	35.229923
410822	410800	3	district	博爱县	410000,410800,410822	河南省,焦作市,博爱县	河南省	焦作市	博爱县	113.069313	35.170351
410823	410800	3	district	武陟县	410000,410800,410823	河南省,焦作市,武陟县	河南省	焦作市	武陟县	113.408334	35.09885
410803	410800	3	district	中站区	410000,410800,410803	河南省,焦作市,中站区	河南省	焦作市	中站区	113.175485	35.236145
410811	410800	3	district	山阳区	410000,410800,410811	河南省,焦作市,山阳区	河南省	焦作市	山阳区	113.26766	35.21476
410802	410800	3	district	解放区	410000,410800,410802	河南省,焦作市,解放区	河南省	焦作市	解放区	113.226126	35.241353
410100	410000	2	city	郑州市	410000,410100	河南省,郑州市	河南省	郑州市		113.665412	34.757975
410185	410100	3	district	登封市	410000,410100,410185	河南省,郑州市,登封市	河南省	郑州市	登封市	113.037768	34.459939
410102	410100	3	district	中原区	410000,410100,410102	河南省,郑州市,中原区	河南省	郑州市	中原区	113.611576	34.748286
410183	410100	3	district	新密市	410000,410100,410183	河南省,郑州市,新密市	河南省	郑州市	新密市	113.380616	34.537846
410184	410100	3	district	新郑市	410000,410100,410184	河南省,郑州市,新郑市	河南省	郑州市	新郑市	113.73967	34.394219
410106	410100	3	district	上街区	410000,410100,410106	河南省,郑州市,上街区	河南省	郑州市	上街区	113.298282	34.808689
410182	410100	3	district	荥阳市	410000,410100,410182	河南省,郑州市,荥阳市	河南省	郑州市	荥阳市	113.391523	34.789077
410181	410100	3	district	巩义市	410000,410100,410181	河南省,郑州市,巩义市	河南省	郑州市	巩义市	112.98283	34.75218
